topic_id,category_id,post_count,avg_score
112136,19,1,2442.4
112139,19,4,2243.5
11213,7,6,222.63333333333333
112229,19,1,186.2
112236,7,4,296.04999999999995
11225,7,2,29.0
112367,7,2,467.1
112400,7,4,44.85
112425,7,13,879.5846153846154
11243,7,16,74.5375
112509,8,5,66.0
11257,8,3,46.73333333333333
1125,7,5,78.08000000000001
112618,7,5,428.2399999999999
112645,19,1,20.2
112656,7,1,194.0
112684,7,2,8612.5
11268,21,4,54.65
112709,7,1,77.0
112719,7,7,2609.3428571428567
11274,8,7,1101.2
112756,7,1,101.0
11275,8,2,34.400000000000006
112771,21,1,1934.0
11278,7,4,40.25
112798,7,3,1330.2666666666667
112824,21,1,478.0
112833,7,3,445.8666666666666
112837,19,10,6601.800000000001
112869,21,1,135.2
112921,7,2,34.2
112928,7,9,63.24444444444446
112929,7,1,2159.4
11294,21,3,26.333333333333332
112958,19,1,91.2
11295,21,20,71.11000000000001
11302,8,3,95.73333333333335
113042,7,4,161.29999999999998
113059,7,15,1695.9199999999998
11306,21,14,731.3
113107,19,21,89.67619047619047
113163,19,1,61.4
113236,19,5,245.95999999999998
113279,19,3,400.86666666666673
11328,7,2,45.5
113296,7,1,137.6
113297,19,1,50.8
113311,19,1,15.4
113317,19,3,1718.2666666666667
11335,7,1,348.2
113415,7,9,703.3777777777779
11342,7,2,58.0
11346,21,3,39.86666666666667
113491,7,6,171.03333333333333
11350,21,2,172.1
113510,7,4,1332.9499999999998
113512,7,3,186.33333333333334
113532,7,1,8000.4
113539,19,2,309.3
113540,7,3,628.0666666666667
113550,19,4,326.3
113570,19,2,39.0
113589,19,6,60.699999999999996
1135,21,13,40.13846153846154
113603,19,1,2353.4
11362,7,2,59.300000000000004
113639,7,1,76.8
11363,7,8,1904.3000000000002
11366,8,2,67.3
113697,7,10,200.44000000000005
113698,7,1,78.2
11369,7,3,226.39999999999998
113724,19,2,20.8
113728,19,3,23.066666666666666
113755,19,1,120.8
113789,7,1,185.6
113798,7,6,1699.1333333333334
113836,7,2,1043.6
113841,21,7,134.25714285714284
11385,8,4,1794.5
113891,8,6,413.6666666666667
11389,21,4,161.05000000000004
113912,7,7,404.65714285714284
11392,7,2,92.1
113939,7,1,532.4
113985,19,8,464.925
113986,7,8,739.95
113993,8,3,1758.6666666666667
11400,21,6,76.53333333333333
11403,7,5,356.8
114074,8,6,953.2666666666665
114118,7,7,1956.4
11411,7,2,136.79999999999998
114149,19,2,610.3
11416,7,2,94.4
114170,7,2,136.2
114195,21,1,62.6
114196,19,2,10.9
114209,21,2,4964.0
11422,8,2,54.6
11427,7,2,1685.5
